,Flight Identifier,Waypoint Name,Waypoint ID,Sequence ID,Latitude,Longitude,Fuel On Board (lb),Burn Off (lb),Cumulated Burn Off (lb),Time Over Waypoint,File Name
0,HAL7,KLAS,KLAS,0,129888.0,-414546.0,88688,0,0,2025-02-13T17:16:00,202502131507272336397.xml
1,HAL7,36060N115092W,36N11,1,129960.0,-414552.0,88364,324,324,2025-02-13T17:16:00,202502131507272336397.xml
2,HAL7,BESSY,BESSY,2,129990.0,-415044.0,86855,1509,1833,2025-02-13T17:19:00,202502131507272336397.xml
3,HAL7,HRRLY,HRRLY,3,129564.0,-415248.0,85780,1075,2908,2025-02-13T17:20:00,202502131507272336397.xml
4,HAL7,GRUDN,GRUDN,4,129336.0,-415362.0,85341,439,3347,2025-02-13T17:21:00,202502131507272336397.xml
5,HAL7,RADYR,RADYR,5,128190.0,-415398.0,83649,1692,5039,2025-02-13T17:25:00,202502131507272336397.xml
6,HAL7,SLVRR,SLVRR,6,127242.0,-416676.0,82069,1580,6619,2025-02-13T17:28:00,202502131507272336397.xml
7,HAL7,TOPAC,TOPAC,7,126726.0,-417354.0,81353,716,7335,2025-02-13T17:30:00,202502131507272336397.xml
8,HAL7,HEC,HEC,8,125268.0,-419268.0,79620,1733,9068,2025-02-13T17:36:00,202502131507272336397.xml
9,HAL7,RESOR,RESOR,9,123804.0,-421062.0,78242,1378,10446,2025-02-13T17:41:00,202502131507272336397.xml
10,HAL7,TOC,TOC,10,123372.0,-421584.0,77871,371,10817,2025-02-13T17:43:00,202502131507272336397.xml
11,HAL7,CIVET,CIVET,11,122526.0,-422604.0,77262,609,11426,2025-02-13T17:46:00,202502131507272336397.xml
12,HAL7,PDZ,PDZ,12,122106.0,-423108.0,76964,298,11724,2025-02-13T17:47:00,202502131507272336397.xml
13,HAL7,SXC,SXC,13,120150.0,-426312.0,75292,1672,13396,2025-02-13T17:56:00,202502131507272336397.xml
14,HAL7,GOATZ,GOATZ,14,119466.0,-427212.0,74789,503,13899,2025-02-13T17:58:00,202502131507272336397.xml
15,HAL7,MALIT,MALIT,15,116910.0,-430530.0,72915,1874,15773,2025-02-13T18:08:00,202502131507272336397.xml
16,HAL7,ROSIN,ROSIN,16,114990.0,-432966.0,71529,1386,17159,2025-02-13T18:15:00,202502131507272336397.xml
17,HAL7,KZAK,N/A,17,113664.0,-436854.0,69719,1810,18969,2025-02-13T18:25:00,202502131507272336397.xml
18,HAL7,FICKY,FICKY,18,113610.0,-437010.0,69646,73,19042,2025-02-13T18:25:00,202502131507272336397.xml
