,Day,Time,Flight Number,Aircraft Registration,Position Coordinates,Last Waypoint,Current UTC Time,Altitude,Go-To Waypoint,ETA Go-To Waypoint,Waypoint After Go-To,Actual Wind Speed,Air Temperature,Fuel Onboard
1182,13,17:11,HA7,N399HA,N36046W115096,KLAS26R,17:11:31,25,RUDYY,17:13:03,SELLZ,1032,P04,872
1183,13,17:16,HA7,N399HA,N35491W115202,SELLZ,17:16:36,128,RADYR,17:19:14,SLVRR,24240,M06,860
3504,13,17:21,HA7,N399HA,N35268W115365,RADYR,17:21:37,216,SLVRR,17:23:16,TOPAC,25336,M23,839
4625,13,17:26,HA7,N399HA,N35061W116039,TOPAC,17:26:38,304,SXC,17:52:21,GOATZ,25779,M44,824
112,13,17:31,HA7,N399HA,N34484W116288,TOPAC,17:31:35,361,SXC,17:52:16,GOATZ,25986,M59,805
1629,13,17:36,HA7,N399HA,N34289W116558,TOPAC,17:36:40,380,SXC,17:53:34,GOATZ,25687,M64,795
3515,13,17:41,HA7,N399HA,N34089W117231,TOPAC,17:41:40,380,SXC,17:53:04,GOATZ,25871,M65,782
5051,13,17:46,HA7,N399HA,N33479W117514,TOPAC,17:46:46,380,SXC,17:53:01,GOATZ,25677,M64,774
4417,13,17:51,HA7,N399HA,N33274W118187,TOPAC,17:51:48,380,SXC,17:53:10,GOATZ,25572,M64,765
4670,13,17:56,HA7,N399HA,N33070W118456,GOATZ,17:56:48,380,MALIT,18:06:24,ROSIN,25677,M64,757
3297,13,18:02,HA7,N399HA,N32461W119128,GOATZ,18:01:56,380,MALIT,18:06:22,ROSIN,25578,M64,748
0,13,18:06,HA7,N399HA,N32262W119385,MALIT,18:06:50,380,ROSIN,18:14:03,FICKY,25674,M63,738
3440,13,18:12,HA7,N399HA,N32048W120057,MALIT,18:11:54,380,ROSIN,18:13:59,FICKY,26682,M59,729
3044,13,18:17,HA7,N399HA,N31496W120366,ROSIN,18:16:55,370,FICKY,18:24:05,30N25,27185,M57,721
3450,13,18:21,HA7,N399HA,N31382W121099,ROSIN,18:21:57,370,FICKY,18:24:13,30N25,276100,M58,716
152,13,18:27,HA7,N399HA,N31266W121401,FICKY,18:26:58,370,30N25,18:59:38,N29000W128000,280111,M58,705
306,13,18:32,HA7,N399HA,N31143W122096,FICKY,18:32:06,370,30N25,19:00:08,N29000W128000,281117,M58,698
1353,13,18:32,HA7,N399HA,N31129W122131,FICKY,18:32:43,370,30N25,19:00:12,N29000W128000,282122,M58,698
1415,13,18:37,HA7,N399HA,N31024W122377,FICKY,18:37:05,370,30N25,19:00:35,N29000W128000,284124,M59,690
3543,13,18:42,HA7,N399HA,N30501W123066,FICKY,18:42:10,370,30N25,19:00:52,N29000W128000,284110,M58,682
1762,13,18:47,HA7,N399HA,N30373W123361,FICKY,18:47:11,370,30N25,19:01:04,N29000W128000,284105,M59,670
3056,13,18:52,HA7,N399HA,N30242W124060,FICKY,18:52:12,370,30N25,19:01:08,N29000W128000,28789,M58,660
3430,13,18:57,HA7,N399HA,N30107W124362,FICKY,18:57:12,370,30N25,19:01:13,N29000W128000,28580,M58,650
1577,13,19:02,HA7,N399HA,N29575W125078,30N25,19:02:14,370,N29000W128000,19:28:06,27N35,28874,M58,644
739,13,19:07,HA7,N399HA,N29469W125407,30N25,19:07:16,370,N29000W128000,19:28:14,27N35,29074,M58,634
1140,13,19:12,HA7,N399HA,N29359W126141,30N25,19:12:20,370,N29000W128000,19:28:12,27N35,29570,M58,625
3872,13,19:17,HA7,N399HA,N29250W126469,30N25,19:17:17,379,N29000W128000,19:28:16,27N35,29271,M60,617
1626,13,19:22,HA7,N399HA,N29136W127206,30N25,19:22:22,380,N29000W128000,19:28:22,27N35,29069,M61,607
2811,13,19:27,HA7,N399HA,N29015W127556,30N25,19:27:38,380,N29000W128000,19:28:20,27N35,29761,M60,597
4906,13,19:32,HA7,N399HA,N28521W128306,N29000W128000,19:32:44,381,27N35,,N25000W141000,28959,M60,590
1029,13,19:37,HA7,N399HA,N28427W129066,N29000W128000,19:37:40,400,27N35,20:26:29,N25000W141000,31246,M64,580
3995,13,19:42,HA7,N399HA,N28326W129442,N29000W128000,19:42:46,395,27N35,20:26:21,N25000W141000,30047,M64,571
1375,13,19:47,HA7,N399HA,N28225W130212,N29000W128000,19:47:46,395,27N35,20:26:02,N25000W141000,31444,M63,563
2163,13,19:52,HA7,N399HA,N28123W130581,N29000W128000,19:52:47,390,27N35,20:26:07,N25000W141000,29848,M62,555
71,13,19:58,HA7,N399HA,N28018W131350,N29000W128000,19:57:52,390,27N35,20:26:12,N25000W141000,30354,M62,546
2900,13,20:03,HA7,N399HA,N27512W132117,N29000W128000,20:02:55,390,27N35,20:26:10,N25000W141000,29642,M62,538
3442,13,20:08,HA7,N399HA,N27406W132479,N29000W128000,20:07:54,390,27N35,20:26:12,N25000W141000,29443,M62,530
1836,13,20:13,HA7,N399HA,N27296W133244,N29000W128000,20:12:56,390,27N35,20:26:13,N25000W141000,29539,M62,522
1345,13,20:18,HA7,N399HA,N27185W134008,N29000W128000,20:17:56,390,27N35,20:26:13,N25000W141000,29440,M62,514
2195,13,20:23,HA7,N399HA,N27072W134373,N29000W128000,20:22:57,390,27N35,20:26:11,N25000W141000,29043,M62,501
2462,13,20:28,HA7,N399HA,N26555W135145,27N35,20:28:02,400,N25000W141000,21:14:58,N23000W146000,29123,M61,491
96,13,20:33,HA7,N399HA,N26440W135516,27N35,20:33:02,400,N25000W141000,21:14:58,N23000W146000,30438,M60,482
4774,13,20:38,HA7,N399HA,N26318W136300,27N35,20:38:16,400,N25000W141000,21:15:05,N23000W146000,31343,M62,474
1926,13,20:43,HA7,N399HA,N26200W137065,27N35,20:43:13,400,N25000W141000,21:14:53,N23000W146000,32043,M60,466
4330,13,20:48,HA7,N399HA,N26076W137443,27N35,20:48:18,400,N25000W141000,21:14:51,N23000W146000,32447,M60,456
4152,13,20:53,HA7,N399HA,N25546W138233,27N35,20:53:31,400,N25000W141000,21:14:39,N23000W146000,33246,M60,447
5588,13,20:58,HA7,N399HA,N25423W138596,27N35,20:58:20,400,N25000W141000,21:14:35,N23000W146000,33256,M59,438
5890,13,21:03,HA7,N399HA,N25290W139381,27N35,21:03:28,400,N25000W141000,21:14:38,N23000W146000,33257,M59,431
5941,13,21:08,HA7,N399HA,N25161W140148,27N35,21:08:25,400,N25000W141000,21:14:43,N23000W146000,32861,M58,424
