Index,Day,Time_HHMM,Flight_Number,Aircraft_Registration,Position_LatLon,Last_Waypoint,Current_UTC_Time,Altitude,GOTO_Waypoint,ETA_GOTO,GOTO+1_Waypoint,Air_Temperature,Actual_Wind,Fuel_Onboard,Current_UTC_Time_Duplicate
328,13,1750,HA1641,N5827K,N38410W121361,KSMF17R,175046,4,SCTWN,175319,DNGER,P12,17520,590,TS175046
336,13,1755,HA1641,N5827K,N38382W121114,SCTWN,175547,121,DNGER,175946,RALEY,M10,22050,550,TS175547
3601,13,1800,HA1641,N5827K,N38386W120301,DNGER,180047,245,RALEY,181410,INSLO,M35,21287,542,TS180047
992,13,1805,HA1641,N5827K,N38373W119391,DNGER,180548,331,RALEY,181406,INSLO,M54,214103,516,TS180548
1390,13,1811,HA1641,N5827K,N38355W118437,DNGER,181054,390,RALEY,181342,INSLO,M53,24660,502,TS181054
42,13,1815,HA1641,N5827K,N38372W117495,RALEY,181555,390,INSLO,181853,CHUKR,M55,25162,495,TS181555
1164,13,1820,HA1641,N5827K,N38445W116558,INSLO,182051,390,CHUKR,182549,TTOES,M56,24865,483,TS182051
5210,13,1826,HA1641,N5827K,N38536W116004,CHUKR,182600,390,TTOES,183323,GAROT,M60,24373,474,TS182600
3268,13,1831,HA1641,N5827K,N39021W115058,CHUKR,183104,390,TTOES,183326,GAROT,M65,24171,464,TS183104
3138,13,1836,HA1641,N5827K,N39101W114120,TTOES,183603,390,GAROT,184121,DBL,M65,25069,455,TS183603
1332,13,1841,HA1641,N5827K,N39182W113118,GAROT,184139,390,DBL,191604,GLD,M67,25776,445,TS184139
3764,13,1846,HA1641,N5827K,N39204W112223,GAROT,184607,390,DBL,191559,GLD,M67,26180,437,TS184607
4411,13,1851,HA1641,N5827K,N39225W111265,GAROT,185106,390,DBL,191547,GLD,M64,26886,430,TS185106
5083,13,1856,HA1641,N5827K,N39242W110285,GAROT,185614,390,DBL,191543,GLD,M62,27576,422,TS185614
14,13,1901,HA1641,N5827K,N39254W109347,GAROT,190107,390,DBL,191550,GLD,M64,27572,415,TS190107
4104,13,1906,HA1641,N5827K,N39261W108384,GAROT,190616,390,DBL,191554,GLD,M62,27365,407,TS190616
1998,13,1911,HA1641,N5827K,N39264W107435,GAROT,191121,390,DBL,191600,GLD,M64,26760,400,TS191121
3107,13,1916,HA1641,N5827K,N39264W106500,DBL,191621,390,GLD,194421,SLN,M66,27061,392,TS191621
3008,13,1921,HA1641,N5827K,N39268W105566,DBL,192117,390,GLD,194430,SLN,M67,26859,382,TS192117
1078,13,1926,HA1641,N5827K,N39269W105030,DBL,192616,390,GLD,194439,SLN,M68,27661,378,TS192616
2713,13,1931,HA1641,N5827K,N39264W104068,DBL,193125,390,GLD,194418,SLN,M62,26790,370,TS193125
1730,13,1936,HA1641,N5827K,N39256W103097,DBL,193626,390,GLD,194416,SLN,M61,27190,360,TS193626
716,13,1941,HA1641,N5827K,N39242W102125,DBL,194127,390,GLD,194413,SLN,M60,27290,350,TS194127
1322,13,1946,HA1641,N5827K,N39207W101155,GLD,194628,390,SLN,200550,KK51G,M60,26992,342,TS194628
3113,13,1951,HA1641,N5827K,N39149W100192,GLD,195125,390,SLN,200543,KK51G,M60,271100,335,TS195125
4058,13,1956,HA1641,N5827K,N39084W099215,GLD,195626,390,SLN,200538,KK51G,M57,274100,327,TS195626
3518,13,2001,HA1641,N5827K,N39012W098217,GLD,200139,390,SLN,200536,KK51G,M56,27999,320,TS200139
2840,13,2006,HA1641,N5827K,N38542W097250,SLN,200636,390,KK51G,202442,DAAVE,M56,27898,311,TS200636
2029,13,2011,HA1641,N5827K,N38482W096287,SLN,201133,390,KK51G,202442,DAAVE,M54,28092,300,TS201133
2399,13,2016,HA1641,N5827K,N38416W095314,SLN,201637,390,KK51G,202444,DAAVE,M52,27690,292,TS201637
1769,13,2021,HA1641,N5827K,N38346W094355,SLN,202134,390,KK51G,202449,DAAVE,M51,26794,285,TS202134
3352,13,2026,HA1641,N5827K,N38300W093377,KK51G,202639,390,DAAVE,205012,JDUNN,M51,26299,277,TS202639
3046,13,2031,HA1641,N5827K,N38299W092396,KK51G,203140,390,DAAVE,205011,JDUNN,M51,257105,261,TS203140
434,13,2036,HA1641,N5827K,N38292W091421,KK51G,203638,390,DAAVE,205017,JDUNN,M52,256109,259,TS203638
545,13,2041,HA1641,N5827K,N38280W090431,KK51G,204142,390,DAAVE,205016,JDUNN,M53,255112,249,TS204142
2183,13,2046,HA1641,N5827K,N38264W089442,KK51G,204647,351,DAAVE,205036,JDUNN,M47,261110,246,TS204647
1700,13,2051,HA1641,N5827K,N38242W088510,DAAVE,205144,318,JDUNN,205509,JRICO,M47,258127,243,TS205144
3696,13,2057,HA1641,N5827K,N38209W087576,JDUNN,205657,277,JRICO,210420,HEREE,M42,252138,238,TS205657
