,File Name,Flight Number,Departure Airport,Arrival Airport,Aircraft Registration,Scheduled Time of Departure,Flight Date
0,202502131723352337212.xml,HA1641,SMF,CVG,N5827K,17:45:00Z,2025-02-13
1,202502132107282338535.xml,HA249,OGG,LIH,N476HA,23:35:00Z,2025-02-13
2,202502131316282335985.xml,HA21,SEA,HNL,N396HA,15:00:00Z,2025-02-13
3,202502130036102333221.xml,HA261,ITO,HNL,N490HA,01:45:00Z,2025-02-13
4,202502131911532337868.xml,HA339,KOA,OGG,N489HA,20:21:00Z,2025-02-13
5,202502132332422339709.xml,HA48,HNL,OAK,N226HA,22:55:00Z,2025-02-13
6,202502131915412337887.xml,HA181,ITO,HNL,N476HA,20:25:00Z,2025-02-13
7,202502131716212337182.xml,HA178,HNL,KOA,N488HA,18:25:00Z,2025-02-13
8,202502132326032339654.xml,HA343,HNL,LIH,N484HA,00:35:00Z,2025-02-14
9,202502130115442333458.xml,HA374,LIH,HNL,N478HA,03:35:00Z,2025-02-13
10,202502132351172339865.xml,HA5,LAS,HNL,N393HA,01:30:00Z,2025-02-14
11,202502131602522336666.xml,HA142,HNL,ITO,N493HA,17:12:00Z,2025-02-13
12,202502132315462339568.xml,HA336,HNL,OGG,N495HA,00:25:00Z,2025-02-14
13,202502132027202338273.xml,HA52,HNL,PDX,N386HA,21:30:00Z,2025-02-13
14,202502132304502339464.xml,HA40,OGG,PDX,N204HA,00:10:00Z,2025-02-14
15,202502131620252336806.xml,HA6,HNL,LAS,N393HA,18:05:00Z,2025-02-13
16,202502131432182336226.xml,HA113,HNL,LIH,N492HA,15:36:00Z,2025-02-13
17,202502132115482338580.xml,HA66,LIH,SMF,N228HA,23:15:00Z,2025-02-13
18,202502131755562337452.xml,HA193,HNL,LIH,N480HA,19:05:00Z,2025-02-13
19,202502130339382334166.xml,HA534,LIH,HNL,N480HA,05:59:00Z,2025-02-13
20,202502130557052334835.xml,HA60,OGG,SMF,N228HA,02:20:00Z,2025-02-13
21,202502132152062338901.xml,HA295,OGG,HNL,N488HA,00:20:00Z,2025-02-14
22,202502132152062338903.xml,HA22,HNL,SEA,N382HA,23:35:00Z,2025-02-13
23,202502132107282338536.xml,HA276,HNL,OGG,N476HA,22:10:00Z,2025-02-13
24,202502132241002339290.xml,HA64,LIH,LAX,N227HA,00:50:00Z,2025-02-14
25,202502130022592333153.xml,HA57,SAN,OGG,N228HA,18:50:00Z,2025-02-12
26,202502132001112338114.xml,HA253,HNL,LIH,N493HA,21:10:00Z,2025-02-13
27,202502131517312336455.xml,HA3,LAX,HNL,N780HA,17:15:00Z,2025-02-13
28,202502131716212337181.xml,HA129,KOA,LIH,N488HA,19:45:00Z,2025-02-13
29,202502131503182336381.xml,HA71,LGB,OGG,N216HA,16:55:00Z,2025-02-13
30,202502132105232338524.xml,HA207,KOA,HNL,N485HA,21:50:00Z,2025-02-13
31,202502131836342337690.xml,HA171,ITO,HNL,N495HA,19:46:00Z,2025-02-13
32,202502132252382339369.xml,HA549,OGG,LIH,N493HA,00:45:00Z,2025-02-14
33,202502131602522336665.xml,HA175,OGG,HNL,N493HA,19:50:00Z,2025-02-13
34,202502130249562333936.xml,HA517,KOA,HNL,N484HA,05:19:00Z,2025-02-13
35,202502131632362336858.xml,HA1641,SMF,CVG,N5827K,17:45:00Z,2025-02-13
36,202502130130452333552.xml,HA281,ITO,HNL,N495HA,02:40:00Z,2025-02-13
37,202502131755562337451.xml,HA240,LIH,OGG,N480HA,20:17:00Z,2025-02-13
38,202502130411542334295.xml,HA96,HNL,SLC,N220HA,06:05:00Z,2025-02-13
39,202502131452582336324.xml,HA47,OAK,HNL,N205HA,16:20:00Z,2025-02-13
40,202502132152062338902.xml,HA286,HNL,OGG,N488HA,23:01:00Z,2025-02-13
41,202502132202562338991.xml,HA303,HNL,LIH,N492HA,23:12:00Z,2025-02-13
42,202502131725482337220.xml,HA219,ITO,OGG,N493HA,18:35:00Z,2025-02-13
43,202502130122112333507.xml,HA337,KOA,HNL,N484HA,02:31:00Z,2025-02-13
44,202502130005502333080.xml,HA281,ITO,HNL,N495HA,02:40:00Z,2025-02-13
45,202502132231102339228.xml,HA40,OGG,PDX,N204HA,00:10:00Z,2025-02-14
46,202502132035372338308.xml,HA149,OGG,LIH,N480HA,21:45:00Z,2025-02-13
47,202502132000582338103.xml,HA204,LIH,HNL,N488HA,21:10:00Z,2025-02-13
48,202502131651472336989.xml,HA195,OGG,HNL,N479HA,20:36:00Z,2025-02-13
49,202502130420552334348.xml,HA508,HNL,KOA,N478HA,03:59:00Z,2025-02-13
50,202502131650582336981.xml,HA163,HNL,LIH,N479HA,18:00:00Z,2025-02-13
51,202502132310342339526.xml,HA261,ITO,HNL,N489HA,01:45:00Z,2025-02-14
52,202502132123492338648.xml,HA274,LIH,HNL,N477HA,23:45:00Z,2025-02-13
53,202502132326032339653.xml,HA355,OGG,HNL,N484HA,03:10:00Z,2025-02-14
54,202502131650582336980.xml,HA166,HNL,OGG,N492HA,18:00:00Z,2025-02-13
55,202502132034342338300.xml,HA32,OGG,LAS,N213HA,21:50:00Z,2025-02-13
56,202502130257422333969.xml,HA1637,SBD,PDX,N5843K,05:57:00Z,2025-02-13
57,202502130335312334142.xml,HA391,ITO,HNL,N493HA,04:45:00Z,2025-02-13
58,202502131651472336988.xml,HA137,KOA,HNL,N478HA,18:00:00Z,2025-02-13
59,202502130005502333081.xml,HA352,HNL,ITO,N495HA,01:15:00Z,2025-02-13
60,202502131956012338079.xml,HA330,OGG,KOA,N491HA,23:45:00Z,2025-02-13
61,202502132334422339721.xml,HA1633,AFW,SMF,N5879K,01:30:00Z,2025-02-14
62,202502131525322336494.xml,HA29,SEA,OGG,N384HA,17:20:00Z,2025-02-13
63,202502131900362337803.xml,HA1623,SBD,HNL,N4621K,22:00:00Z,2025-02-13
64,202502132202562338992.xml,HA294,LIH,HNL,N492HA,00:25:00Z,2025-02-14
65,202502132213472339067.xml,HA298,HNL,KOA,N494HA,22:55:00Z,2025-02-13
66,202502130036092333220.xml,HA368,HNL,KOA,N489HA,01:45:00Z,2025-02-13
67,202502130220262333810.xml,HA367,KOA,HNL,N489HA,03:05:00Z,2025-02-13
68,202502132025472338255.xml,HA265,OGG,HNL,N484HA,22:55:00Z,2025-02-13
69,202502130020522333146.xml,HA345,OGG,HNL,N492HA,02:45:00Z,2025-02-13
70,202502131611532336740.xml,HA155,OGG,HNL,N477HA,18:35:00Z,2025-02-13
71,202502132252302339368.xml,HA334,LIH,HNL,N493HA,02:05:00Z,2025-02-14
72,202502131715382337174.xml,HA204,LIH,HNL,N488HA,21:10:00Z,2025-02-13
73,202502132105232338523.xml,HA238,HNL,KOA,N485HA,20:30:00Z,2025-02-13
74,202502131713022337158.xml,HA171,ITO,HNL,N495HA,19:46:00Z,2025-02-13
75,202502131713022337159.xml,HA152,HNL,ITO,N495HA,18:22:00Z,2025-02-13
76,202502131835472337688.xml,HA129,KOA,LIH,N488HA,19:45:00Z,2025-02-13
77,202502130455492334552.xml,HA561,ITO,HNL,N489HA,05:55:00Z,2025-02-13
78,202502130300492333996.xml,HA516,HNL,OGG,N492HA,04:10:00Z,2025-02-13
79,202502132042522338355.xml,HA70,HNL,LGB,N212HA,22:25:00Z,2025-02-13
80,202502131657162337033.xml,HA10,HNL,LAX,N374HA,17:55:00Z,2025-02-13
81,202502132022402338233.xml,HA46,OGG,SJC,N223HA,22:00:00Z,2025-02-13
82,202502131436262336241.xml,HA115,OGG,HNL,N479HA,16:45:00Z,2025-02-13
83,202502132355432339888.xml,HA335,OGG,HNL,N478HA,02:20:00Z,2025-02-14
