File Name,Flight Number,Waypoint Name,Latitude,Longitude,Wind Direction (°),Wind Speed (kt),Time Over Waypoint,Fuel On Board (lb)
202502131459262336359.xml,HA1641,KSMF,139302.0,-437724.0,0,0,17:57:00,61992
202502131459262336359.xml,HA1641,38410N121361W,139260.0,-437766.0,246,27,17:57:00,61672
202502131459262336359.xml,HA1641,SCTWN,139068.0,-437226.0,235,29,18:00:00,60125
202502131459262336359.xml,HA1641,DNGER,139134.0,-434538.0,211,49,18:06:00,56985
202502131459262336359.xml,HA1641,TOC,138948.0,-427890.0,214,92,18:16:00,53194
202502131459262336359.xml,HA1641,RALEY,138858.0,-425646.0,235,90,18:20:00,52580
202502131459262336359.xml,HA1641,KZLC,139242.0,-422292.0,237,95,18:25:00,51690
202502131459262336359.xml,HA1641,INSLO,139242.0,-422274.0,237,95,18:25:00,51685
202502131459262336359.xml,HA1641,CHUKR,139992.0,-417768.0,240,85,18:32:00,50474
202502131459262336359.xml,HA1641,TTOES,140748.0,-412860.0,248,78,18:39:00,49038
202502131459262336359.xml,HA1641,GAROT,141480.0,-407700.0,256,81,18:47:00,47691
202502131459262336359.xml,HA1641,KZDV,141882.0,-396570.0,275,67,19:04:00,44754
202502131459262336359.xml,HA1641,DBL,141984.0,-384822.0,275,67,19:22:00,41658
202502131459262336359.xml,HA1641,GLD,141798.0,-366090.0,276,69,19:50:00,36853
202502131459262336359.xml,HA1641,KZKC,140904.0,-357672.0,272,93,20:02:00,34767
202502131459262336359.xml,HA1641,SLN,140130.0,-351438.0,272,93,20:11:00,33212
202502131459262336359.xml,HA1641,KK51G,138600.0,-338400.0,272,99,20:30:00,29995
202502131459262336359.xml,HA1641,DAAVE,138294.0,-320592.0,260,108,20:55:00,25686
202502131459262336359.xml,HA1641,TOD,138144.0,-318102.0,256,122,20:59:00,25098
202502131459262336359.xml,HA1641,JDUNN,138126.0,-317778.0,256,123,20:59:00,25083
202502131459262336359.xml,HA1641,KZID,138090.0,-317256.0,254,130,21:00:00,25057
202502131459262336359.xml,HA1641,JRICO,137736.0,-312150.0,254,130,21:08:00,24798
202502131459262336359.xml,HA1641,HEREE,138054.0,-310332.0,259,123,21:11:00,24447
202502131459262336359.xml,HA1641,THERE,138858.0,-308484.0,261,112,21:15:00,24140
202502131459262336359.xml,HA1641,SARGO,139260.0,-307548.0,264,91,21:17:00,24029
202502131459262336359.xml,HA1641,VANGE,139632.0,-306900.0,269,70,21:19:00,23848
202502131459262336359.xml,HA1641,WAXIL,139638.0,-306684.0,267,64,21:20:00,23814
202502131459262336359.xml,HA1641,FECTA,139662.0,-305946.0,268,59,21:22:00,23712
202502131459262336359.xml,HA1641,KCVG,140574.0,-304806.0,289,22,21:28:00,23258
202502131459262336359.xml,HA1641,KCVG,140574.0,-304806.0,0,0,21:28:00,23258
202502131459262336359.xml,HA1641,JBNCH,142494.0,-306084.0,266,61,21:37:00,18615
202502131459262336359.xml,HA1641,SNKPT,144852.0,-307422.0,252,128,21:43:00,16283
202502131459262336359.xml,HA1641,KZAU,144960.0,-307464.0,249,115,21:43:00,16210
202502131459262336359.xml,HA1641,BARKS,145968.0,-307872.0,249,115,21:45:00,15542
202502131459262336359.xml,HA1641,TOC,145998.0,-307914.0,250,113,21:45:00,15512
202502131459262336359.xml,HA1641,TOD,149910.0,-313362.0,253,105,21:59:00,13084
202502131459262336359.xml,HA1641,HIGUH,152286.0,-316806.0,268,80,22:09:00,12702
202502131459262336359.xml,HA1641,NRRRG,152736.0,-318108.0,283,49,22:13:00,12041
202502131459262336359.xml,HA1641,DRLNG,152946.0,-318732.0,285,49,22:14:00,11831
202502131459262336359.xml,HA1641,JNTHN,153216.0,-319536.0,287,44,22:17:00,11719
202502131459262336359.xml,HA1641,NUGGZ,153342.0,-320466.0,293,37,22:20:00,11450
202502131459262336359.xml,HA1641,EMMAS,153132.0,-320772.0,295,32,22:22:00,11370
202502131459262336359.xml,HA1641,DOKKE,152814.0,-320826.0,295,30,22:23:00,11292
202502131459262336359.xml,HA1641,KRFD,151902.0,-320748.0,299,23,22:26:00,11052
202502131632362336858.xml,HA1641,KSMF,139302.0,-437724.0,0,0,17:57:00,63436
202502131632362336858.xml,HA1641,38410N121361W,139260.0,-437766.0,241,28,17:57:00,63110
202502131632362336858.xml,HA1641,SCTWN,139068.0,-437226.0,234,30,18:00:00,61540
202502131632362336858.xml,HA1641,DNGER,139134.0,-434538.0,211,48,18:06:00,58349
202502131632362336858.xml,HA1641,TOC,138924.0,-427296.0,216,87,18:17:00,54220
202502131632362336858.xml,HA1641,RALEY,138858.0,-425646.0,238,90,18:20:00,53761
202502131632362336858.xml,HA1641,KZLC,139242.0,-422292.0,239,94,18:25:00,52850
202502131632362336858.xml,HA1641,INSLO,139242.0,-422274.0,239,94,18:25:00,52845
202502131632362336858.xml,HA1641,CHUKR,139992.0,-417768.0,243,94,18:32:00,51625
202502131632362336858.xml,HA1641,TTOES,140748.0,-412860.0,249,85,18:39:00,50287
202502131632362336858.xml,HA1641,GAROT,141480.0,-407700.0,257,81,18:47:00,48774
202502131632362336858.xml,HA1641,KZDV,141882.0,-396570.0,272,72,19:04:00,45785
202502131632362336858.xml,HA1641,DBL,141984.0,-384822.0,272,72,19:21:00,42635
202502131632362336858.xml,HA1641,GLD,141798.0,-366090.0,274,71,19:49:00,37705
202502131632362336858.xml,HA1641,KZKC,140904.0,-357672.0,272,94,20:01:00,35560
202502131632362336858.xml,HA1641,SLN,140130.0,-351438.0,272,94,20:10:00,33961
202502131632362336858.xml,HA1641,KK51G,138600.0,-338400.0,271,98,20:29:00,30639
202502131632362336858.xml,HA1641,DAAVE,138294.0,-320592.0,259,106,20:54:00,26209
202502131632362336858.xml,HA1641,TOD,138150.0,-318192.0,254,123,20:57:00,25625
202502131632362336858.xml,HA1641,JDUNN,138126.0,-317778.0,254,124,20:58:00,25606
202502131632362336858.xml,HA1641,KZID,138090.0,-317256.0,252,131,20:59:00,25580
202502131632362336858.xml,HA1641,JRICO,137736.0,-312150.0,252,131,21:06:00,25321
202502131632362336858.xml,HA1641,HEREE,138054.0,-310332.0,258,121,21:09:00,24964
202502131632362336858.xml,HA1641,THERE,138858.0,-308484.0,260,112,21:13:00,24663
202502131632362336858.xml,HA1641,SARGO,139260.0,-307548.0,264,92,21:15:00,24552
202502131632362336858.xml,HA1641,VANGE,139632.0,-306900.0,269,71,21:18:00,24366
202502131632362336858.xml,HA1641,WAXIL,139638.0,-306684.0,268,62,21:18:00,24333
202502131632362336858.xml,HA1641,FECTA,139662.0,-305946.0,269,57,21:20:00,24230
202502131632362336858.xml,HA1641,KCVG,140574.0,-304806.0,292,22,21:27:00,23770
202502131632362336858.xml,HA1641,KCVG,140574.0,-304806.0,0,0,21:27:00,23770
202502131632362336858.xml,HA1641,JBNCH,142494.0,-306084.0,266,60,21:35:00,19065
202502131632362336858.xml,HA1641,SNKPT,144852.0,-307422.0,252,129,21:41:00,16673
202502131632362336858.xml,HA1641,KZAU,144960.0,-307464.0,248,116,21:42:00,16599
202502131632362336858.xml,HA1641,BARKS,145968.0,-307872.0,248,116,21:44:00,15922
202502131632362336858.xml,HA1641,TOC,146196.0,-308178.0,249,115,21:45:00,15700
202502131632362336858.xml,HA1641,TOD,149862.0,-313284.0,251,107,21:58:00,13383
202502131632362336858.xml,HA1641,HIGUH,152286.0,-316806.0,265,81,22:07:00,12993
202502131632362336858.xml,HA1641,NRRRG,152736.0,-318108.0,282,50,22:11:00,12320
202502131632362336858.xml,HA1641,DRLNG,152946.0,-318732.0,284,50,22:13:00,12115
202502131632362336858.xml,HA1641,JNTHN,153216.0,-319536.0,287,45,22:15:00,12003
202502131632362336858.xml,HA1641,NUGGZ,153342.0,-320466.0,293,37,22:19:00,11728
202502131632362336858.xml,HA1641,EMMAS,153132.0,-320772.0,295,32,22:20:00,11648
202502131632362336858.xml,HA1641,DOKKE,152814.0,-320826.0,296,30,22:21:00,11570
202502131632362336858.xml,HA1641,KRFD,151902.0,-320748.0,300,23,22:25:00,11338
202502131723352337212.xml,HA1641,KSMF,139302.0,-437724.0,0,0,17:57:00,58400
202502131723352337212.xml,HA1641,38410N121361W,139260.0,-437766.0,241,28,17:57:00,58073
202502131723352337212.xml,HA1641,SCTWN,139068.0,-437226.0,232,31,18:00:00,56555
202502131723352337212.xml,HA1641,DNGER,139134.0,-434538.0,210,49,18:06:00,53473
202502131723352337212.xml,HA1641,TOC,138972.0,-428556.0,215,88,18:15:00,50083
202502131723352337212.xml,HA1641,RALEY,138858.0,-425646.0,237,89,18:20:00,49313
202502131723352337212.xml,HA1641,KZLC,139242.0,-422292.0,239,94,18:25:00,48452
202502131723352337212.xml,HA1641,INSLO,139242.0,-422274.0,239,94,18:25:00,48446
202502131723352337212.xml,HA1641,CHUKR,139992.0,-417768.0,243,94,18:32:00,47293
202502131723352337212.xml,HA1641,TTOES,140748.0,-412860.0,249,85,18:39:00,46027
202502131723352337212.xml,HA1641,GAROT,141480.0,-407700.0,257,81,18:47:00,44610
202502131723352337212.xml,HA1641,KZDV,141882.0,-396570.0,272,72,19:04:00,41807
202502131723352337212.xml,HA1641,DBL,141984.0,-384822.0,272,72,19:22:00,38853
202502131723352337212.xml,HA1641,GLD,141798.0,-366090.0,272,70,19:49:00,34123
202502131723352337212.xml,HA1641,KZKC,140904.0,-357672.0,270,91,20:02:00,32101
202502131723352337212.xml,HA1641,SLN,140130.0,-351438.0,270,91,20:11:00,30593
202502131723352337212.xml,HA1641,KK51G,138600.0,-338400.0,268,96,20:29:00,27459
202502131723352337212.xml,HA1641,DAAVE,138294.0,-320592.0,258,102,20:54:00,23258
202502131723352337212.xml,HA1641,TOD,138180.0,-318618.0,253,117,20:57:00,22803
202502131723352337212.xml,HA1641,JDUNN,138126.0,-317778.0,253,121,20:58:00,22762
202502131723352337212.xml,HA1641,KZID,138090.0,-317256.0,252,131,20:59:00,22736
202502131723352337212.xml,HA1641,JRICO,137736.0,-312150.0,252,131,21:06:00,22477
202502131723352337212.xml,HA1641,HEREE,138054.0,-310332.0,258,121,21:10:00,22129
202502131723352337212.xml,HA1641,THERE,138858.0,-308484.0,259,114,21:13:00,21820
202502131723352337212.xml,HA1641,SARGO,139260.0,-307548.0,263,96,21:15:00,21710
202502131723352337212.xml,HA1641,VANGE,139632.0,-306900.0,269,71,21:18:00,21535
202502131723352337212.xml,HA1641,WAXIL,139638.0,-306684.0,268,62,21:19:00,21500
202502131723352337212.xml,HA1641,FECTA,139662.0,-305946.0,269,57,21:20:00,21398
202502131723352337212.xml,HA1641,KCVG,140574.0,-304806.0,292,22,21:27:00,20951
202502131723352337212.xml,HA1641,KCVG,140574.0,-304806.0,0,0,21:27:00,20951
202502131723352337212.xml,HA1641,JBNCH,142494.0,-306084.0,265,63,21:35:00,16384
202502131723352337212.xml,HA1641,SNKPT,144852.0,-307422.0,250,130,21:41:00,14123
202502131723352337212.xml,HA1641,KZAU,144960.0,-307464.0,248,116,21:42:00,14051
202502131723352337212.xml,HA1641,TOC,145770.0,-307794.0,248,116,21:43:00,13523
202502131723352337212.xml,HA1641,BARKS,145968.0,-307872.0,249,115,21:44:00,13447
202502131723352337212.xml,HA1641,TOD,149958.0,-313428.0,251,107,21:58:00,11039
202502131723352337212.xml,HA1641,HIGUH,152286.0,-316806.0,266,81,22:07:00,10666
202502131723352337212.xml,HA1641,NRRRG,152736.0,-318108.0,282,50,22:11:00,10009
202502131723352337212.xml,HA1641,DRLNG,152946.0,-318732.0,284,50,22:13:00,9789
202502131723352337212.xml,HA1641,JNTHN,153216.0,-319536.0,287,45,22:15:00,9676
202502131723352337212.xml,HA1641,NUGGZ,153342.0,-320466.0,293,37,22:19:00,9413
202502131723352337212.xml,HA1641,EMMAS,153132.0,-320772.0,295,32,22:20:00,9334
202502131723352337212.xml,HA1641,DOKKE,152814.0,-320826.0,296,30,22:21:00,9255
202502131723352337212.xml,HA1641,KRFD,151902.0,-320748.0,301,23,22:25:00,9014
